site_id,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
77,-118.45036519,33.9892951514,1,1691.3749999999993,11177.858333333332,6.616452657348182,603.7000085449295,28601.17811916823
78,-118.221619366,34.0769105087,1,3441.499999999998,22737.666666666668,6.608250332557369,604.055495516753,28630.73063617277
79,-118.39790250166668,34.02059880771667,6,22672.83333333333,149661.90833333333,6.600340488724174,660.7794837588425,34501.282687540515
80,-118.500621806,34.1692535757,2,3383.8615924298397,20310.312825826426,5.986262528391473,714.5868401455178,38057.48201992652
81,-118.36130160266667,34.13750328816666,3,11644.499999999996,71157.76666666666,6.066666666666669,686.6331821169443,36589.83629483058
82,-118.240626281,34.1356172781,3,8328.999999999996,54970.558333333334,6.60001433512754,722.3765475317715,40080.98702536242
83,-118.19636364425,33.8545157713,4,9026.583333333328,59743.55416666667,6.614843585103099,675.5274324438792,35623.237786704514
84,-118.3420218,34.1361761,1,3772.624999999998,24899.325,6.600000000000004,604.2968765320902,28650.79349176065
85,-118.3417817,34.1421323,1,1689.0256517874768,11147.569301797352,6.600000000000004,604.3211764878705,28652.813062355035
86,-118.25604084633333,34.12680870383334,3,22698.083333333325,149883.7083333333,6.6029465905448825,648.2958010017448,32670.640414919904
87,-118.54493038,34.193181319,1,1077.6927844405268,7112.7723773074795,6.600000000000001,604.5297537178384,28670.146665963814
88,-118.53556928,34.2426728249,1,3129.0833333333326,20740.458333333332,6.655118069074917,604.7324960891885,28686.99320655324
89,-118.302397926,34.2585901095,1,2111.874999999999,13938.375000000002,6.600000000000002,604.7978122623355,28692.42009188759
90,-118.175697751,34.0875301318,1,1006.3829425887011,6642.12742108543,6.600000000000001,604.0986932115843,28634.321319724622
91,-118.641123,34.157269,1,2800.8333333333326,18511.85,6.608063396339637,604.3829646662563,28657.948142986246
92,-118.4503466115,33.97364055015,2,9373.583333333328,61865.64999999999,6.600000000000004,774.8754005159383,43482.6901561077
93,-118.2848107985,34.025845471633325,3,6711.364772727271,44305.7325,6.601846590909094,670.9087693418801,34517.133478318465
94,-118.2869209,33.8537543,1,5050.708333333332,33339.33333333333,6.6004354396460405,603.1532491287261,28555.711778142064
95,-118.385402389,33.9879021568,1,4856.166666666665,32050.7,6.600000000000001,603.694369724286,28600.70929690127
96,-118.36944743424999,33.83905266617499,4,8853.624999999996,58434.98333333334,6.599529225653943,647.0328838494097,33118.032093546724
97,-118.53267003333333,34.21967623333334,3,24622.874999999993,162607.32083333336,6.6035346878397085,637.8331405695054,31824.46507098951
98,-118.40603431349999,33.979074041450005,2,4802.249999999998,31694.85,6.600000000000002,615.3545821722423,29765.037544087205
99,-118.455710905,33.9768243782,2,10726.208333333332,70830.24166666667,6.6030372936072474,612.9055779890881,29562.90128990156
100,-118.35323683,34.1415793449,1,2870.1666666666656,18943.1,6.600000000000003,604.3189202387388,28652.62554666855
101,-118.360622065,34.1389992471,2,6821.541666666664,45022.175,6.600000000000003,607.0344725582896,28936.49870888483
102,-118.60545284,34.1987021816,1,2793.999999999999,18468.35,6.613141603322627,604.5523441529699,28672.02388616642
103,-118.359305253,34.1426002054,1,4411.874999999998,29118.375,6.600000000000003,604.3230857543944,28652.971740295598
104,-118.358433667,34.1423581263,1,2860.708333333332,18887.908333333336,6.602614643135588,604.322097956184,28652.88964504618
105,-118.25448388174999,34.158103524225,4,14893.70833333333,98324.34166666666,6.601091956919184,614.2675940179838,29694.404470848825
106,-118.336075621,34.0473815817,1,6293.958333333332,41557.01666666667,6.602049791268942,603.9355052066419,28620.75627887178
107,-118.30559,34.060863,1,1459.999999999999,9635.999999999998,6.600000000000005,603.9902638884423,28625.308261518298
108,-118.429359682,33.9720017321,1,3558.9583333333317,23489.125,6.600000000000003,603.6300339680874,28595.36018251565
109,-118.215083645,33.7885757157,1,2729.583333333332,18015.25,6.600000000000004,602.8916926716618,28533.95625266504
110,-118.237896301,34.0647213767,1,2398.9166666666656,15832.850000000002,6.600000000000002,604.0059428663155,28626.611595738406
111,-118.35252345525,33.8362303307,4,15373.91666666666,101532.51666666666,6.602703639709548,628.3217005718061,30772.42750134973
112,-118.3907083965,33.97552069065,4,11209.374999999995,74089.26250000001,6.605485805060903,741.3342394064964,41088.26336757854
113,-118.6593094,34.1718906318,1,2860.0833333333326,18876.55,6.600000000000003,604.4426964931516,28662.91213632566
114,-118.3761892,33.8161376,1,5755.499999999999,37995.61666666666,6.601660471195306,603.0021882232832,28543.14739700311
115,-118.391911843,33.976032986925006,4,10327.999999999996,68169.45833333333,6.600193227697585,619.0120678989898,30035.187351229124
116,-118.145118357,33.9531849253,1,4149.583333333332,27387.25,6.600000000000001,603.5539666886588,28589.035386947875
117,-118.353220889,33.8478090814,2,13208.416666666664,87210.73333333334,6.6020612600685595,617.2238121315156,29778.558946301026
118,-118.36498935000002,33.7687945511,3,6994.161666666664,46161.467,6.600000000000002,671.8122232138383,35213.56336369979
119,-118.33311519349999,33.8467374886,2,5845.20833333333,38578.375,6.600000000000003,648.4091411170045,32585.944739416784
120,-118.340961664,34.1008338584,1,2603.0833333333326,17184.475,6.600412448443947,604.1528427416995,28638.822205840694
121,-118.26219945700001,33.843478666100005,3,9592.291666666662,63095.5875,6.57299327442281,613.2887547592796,29587.91189603952
122,-118.185412986,33.8287390536,1,3730.0416666666656,24621.89166666667,6.6003189862997615,603.0527601720397,28547.353815176142
123,-118.59134647,34.1765595869,1,2721.0416666666656,17972.85,6.604531452658887,604.4617795212281,28664.49798589027
124,-118.227931558,34.1658287314,2,5216.041666666664,34425.875,6.600000000000002,617.9251514460316,30032.35232766636
125,-118.4149423,33.9208385,1,2677.999999999999,17674.800000000003,6.600000000000001,603.4233793688448,28578.176687955613
126,-118.245232098,34.0624069642,1,3074.458333333332,11501.808333333332,3.7318615319188906,603.9965375963511,28625.82977271077
127,-118.257286141,34.150096191,1,6721.499999999998,44361.9,6.600000000000002,604.3536791217578,28655.514310035695
128,-118.23369061400001,34.0422078069,2,0.0,0.0,0.0,659.0071989569517,33875.156730480885
129,-118.48015224325,34.033270698725,4,7911.083333333331,52254.36666666667,6.603492531862374,613.4119126365524,29513.526408721093
130,-118.21066192699999,34.129695168599994,2,5331.083333333332,35204.275,6.60319798806804,649.4934889215986,33325.69638235416
131,-118.4889488975,34.02593877095,2,6159.499999999998,40662.01666666666,6.600955947739246,612.690687347882,29484.33280049817
132,-118.2561131935,34.143762515199995,2,13390.333333333328,88294.76666666666,6.592918678220958,685.5837357833508,36947.58283724458
133,-118.38428177625,33.929772872775004,4,11473.749999999996,75736.06666666667,6.6010270929378,779.0037662852851,45050.82955534977
134,-118.385781273,33.9297701805,1,2765.8749999999995,18254.775,6.600000000000003,603.4594159551818,28581.173319353788
135,-118.53372424084614,34.170970577630776,13,60377.874999999985,398763.775,5.587964107060657,729.1144730402902,41065.97291715269
136,-118.19433553100001,33.84628684635,1,1158.833333333333,63187.49999999999,55.311408198301315,603.1232378809503,28553.215709532986
137,-118.231759744,34.1665176851,1,2479.416666666666,16364.149999999998,6.600000000000003,604.4207418261532,28661.087622621573
138,-118.151862787,33.9246076945,1,1379.4999999999995,74037.44987365413,54.98260415430171,603.438584870521,28579.441113553585
139,-118.3537349565,33.9179986434,2,6814.583333333331,45004.2,6.6023510926824205,623.4262365809935,30637.72789220857
140,-118.3857061,33.9248509,1,9725.416666666666,64187.75,6.6000000000000005,603.4395660996007,28579.522707995035
141,-118.310496008,34.1864260667,1,6869.499999999997,45338.700000000004,6.600000000000003,604.5021211858301,28667.8504215736
142,-118.342978,33.809219999999996,2,5271.916666666664,34794.649999999994,6.600000000000003,646.9762302373317,32844.62608711035
143,-118.378545171,34.0655790123,1,0.0,0.0,0.0,604.0094283971214,28626.901333001628
144,-118.277513691,34.0279772418,1,6399.749999999998,42238.35,6.600000000000003,603.8567561722543,28614.209751125207
145,-118.258897346,34.1555024808,1,3397.958333333332,22426.525,6.600000000000003,604.3757512091606,28657.348658521587
146,-118.60799100466666,34.170188432799996,3,9851.333333333328,26852.741203703696,2.9775001558954473,681.647747031452,35854.679466107285
147,-118.430063787,34.28484208005,2,11651.45833333333,76904.28333333334,6.6002639980353655,617.380890101108,29903.945106498995
148,-118.347468779,34.1690298145,1,3597.1249999999986,23741.025,6.600000000000002,604.4310060005135,28661.940616424352
149,-118.33106516699999,34.1645603784,2,12140.333333333328,80213.725,6.605462852624347,667.3211421760883,34357.47647246714
150,-118.32673,34.198357,1,7029.0460526315765,46461.57894736842,6.6071713448098235,604.5509315386709,28671.906501514808
151,-118.30196717999999,34.179967853950004,1,6356.208333333331,41973.341666666674,6.603034039759305,604.4757127676711,28665.65586322506
152,-118.2646837275,34.04064326275,4,17632.874999999996,116409.58333333331,6.601252207471503,620.5371561427085,30150.509828666894
153,-118.18574522366667,33.8750081729,3,8069.916666666663,53266.10833333333,6.600244224249418,636.4473637598431,32029.55866626239
154,-118.26616262133332,34.06900324553334,3,11747.458333333328,77598.57499999998,6.6040019053479355,672.5373289866643,35395.18411389226
155,-118.39460666666666,34.18015333333333,3,0.0,0.0,0.0,693.5095136734534,37003.26644605028
